Model,composite_text
Bidirectional-LSTM,"Model: Bidirectional-LSTM. Task: Named Entity Recognition. Action:  Identify and classify named entities such as people, organizations, locations, and more. Input Data: Text. Framework: Tensorflow. Institution: Kamal Kraj"
BERT,"Model: BERT. Task: Named Entity Recognition. Action:  Identify and classify named entities such as people, organizations, locations, and more. Input Data: Text. Framework: Tensorflow. Institution: Google"
Flair,"Model: Flair. Task: Named Entity Recognition. Action:  Identify and classify named entities such as people, organizations, locations, and more. Input Data: Text. Framework: PyTorch. Institution: Flair"
Sequence_tagging,"Model: Sequence_tagging. Task: Named Entity Recognition. Action:  Identify and classify named entities such as people, organizations, locations, and more. Input Data: Text. Framework: Tensorflow. Institution: Guillaume Genthial "
gluon_nlp,"Model: gluon_nlp. Task: Named Entity Recognition. Action:  Identify and classify named entities such as people, organizations, locations, and more. Input Data: Text. Framework: mxnet. Institution: Gluon"
tf_ner,"Model: tf_ner. Task: Named Entity Recognition. Action:  Identify and classify named entities such as people, organizations, locations, and more. Input Data: Text. Framework: Tensorflow. Institution: Guillaume Genthial"
ERNIE,"Model: ERNIE. Task: Named Entity Recognition. Action:  Identify and classify named entities such as people, organizations, locations, and more. Input Data: Text. Framework: Paddle. Institution: n.a"
nvidia/NV-Embed-v2,Model: nvidia/NV-Embed-v2. Task: Feature Extraction. Action: . Input Data: Text. Framework: . Institution: 
intfloat/multilingual-e5-large,Model: intfloat/multilingual-e5-large. Task: Feature Extraction. Action: . Input Data: Text. Framework: . Institution: 
canine-s,Model: canine-s. Task: Feature Extraction. Action: . Input Data: Text. Framework: . Institution: google
Transformer XL,"Model: Transformer XL. Task: Part-of-Speech(POS) tagging. Action: assign a part-of-speech tag (e.g., noun, verb, adjective) to each word in the text.. Input Data: Text. Framework: Tensorflow. Institution: Kimi Young"
Sequence_tagging,"Model: Sequence_tagging. Task: Part-of-Speech(POS) tagging. Action: assign a part-of-speech tag (e.g., noun, verb, adjective) to each word in the text.. Input Data: Text. Framework: Tensorflow. Institution: Guillaume Genthial "
zh-ner-tf,"Model: zh-ner-tf. Task: Part-of-Speech(POS) tagging. Action: assign a part-of-speech tag (e.g., noun, verb, adjective) to each word in the text.. Input Data: Text. Framework: Tensorflow. Institution: Penghui Wei"
NCRF,"Model: NCRF. Task: Part-of-Speech(POS) tagging. Action: assign a part-of-speech tag (e.g., noun, verb, adjective) to each word in the text.. Input Data: Text. Framework: PyTorch. Institution: Jie Yang"
targer,"Model: targer. Task: Part-of-Speech(POS) tagging. Action: assign a part-of-speech tag (e.g., noun, verb, adjective) to each word in the text.. Input Data: Text. Framework: PyTorch. Institution: Artem Chernodub"
tf_ner,"Model: tf_ner. Task: Part-of-Speech(POS) tagging. Action: assign a part-of-speech tag (e.g., noun, verb, adjective) to each word in the text.. Input Data: Text. Framework: Tensorflow. Institution: Guillaume Genthial "
rnnmorph,"Model: rnnmorph. Task: Part-of-Speech(POS) tagging. Action: assign a part-of-speech tag (e.g., noun, verb, adjective) to each word in the text.. Input Data: Text. Framework: ?. Institution: Ilya Gusev"
BERT_Tensorflow,Model: BERT_Tensorflow. Task: Question Answering. Action: provide answers to questions based on the input data.. Input Data: Text. Framework: Tensorflow. Institution: Google
RoBERTa,Model: RoBERTa. Task: Question Answering. Action: provide answers to questions based on the input data.. Input Data: Text. Framework: PyTorch. Institution: Facebook
roberta-base-squad-2,Model: roberta-base-squad-2. Task: Question Answering. Action: provide answers to questions based on the input data.. Input Data: Text. Framework: Haystack. Institution: deepset ai
BERT_DeepPavlov,Model: BERT_DeepPavlov. Task: Question Answering. Action: provide answers to questions based on the input data.. Input Data: Text. Framework: DeepPavlov. Institution: DeepPavlov lab
Transformers,Model: Transformers. Task: Question Answering. Action: provide answers to questions based on the input data.. Input Data: Text. Framework: Paddle. Institution: Paddle
ParlAI,Model: ParlAI. Task: Question Answering. Action: provide answers to questions based on the input data.. Input Data: Text. Framework: PyTorch. Institution: Facebook
