Input Data,Action,Model Task,Model,Framework/Library,Github stars,Normalized Github stars,Citations,Normalized Citations,Open Source/Proprietary,License,Model Size(MB),Model Size Normalized(MB),Memory Requirement(training),Memory Requirement Numeric,Memory Requirement Normalized,Hardware Accelerators,Hardware Accelerators Normalized,Minimum Hardware Accelerators,Detailed Documentation,Institution,Institution Encoded,URL,Paper link,Detailed Documentation Encoded,Overall_Score,Performance_Score,Popularity_Score,Licensing_Score,Hardware_Score,Documentation_Score,Institution_Score
Text," Identify and classify named entities such as people, organizations, locations, and more",Named Entity Recognition,Bidirectional-LSTM,Tensorflow,0.35,0.0047425474254742,1678.0,0.0166998407643312,Open source,GPL-3.0 license,1.147,0.0010965583173996,4-8 GB,6.0,0.0666666666666666,GPU,0.67,1.0,Yes,Kamal Kraj,0.0,https://github.com/kamalkraj/Named-Entity-Recognition-with-Bidirectional-LSTM-CNNs,https://direct.mit.edu/tacl/article-abstract/doi/10.1162/tacl_a_00104/43361,1,0.4669906092045935,0.9661183875079667,0.009525464761017,0.5,0.335,0.5,0.0
Text," Identify and classify named entities such as people, organizations, locations, and more",Named Entity Recognition,BERT,Tensorflow,36.4,0.4932249322493225,41077.0,0.4088077229299363,Open source,Apache-2.0 license,0.317,0.0003030592734225,16-32 GB,24.0,0.4666666666666667,GPU/TPU,1.0,1.0,Yes,Google,1.0,https://github.com/google-research/bert.git,https://arxiv.org/abs/1810.04805,1,0.6218461508133002,0.7665151370299554,0.459458048521568,0.5,0.5,0.5,1.0
Text," Identify and classify named entities such as people, organizations, locations, and more",Named Entity Recognition,Flair,PyTorch,13.4,0.1815718157181572,10182.0,0.1013335987261146,Open source,MIT license,7.811,0.0074674952198852,8-16 GB,12.0,0.2,GPU,0.67,1.0,Yes,Flair,1.0,https://github.com/flairNLP/flair.git,https://www.sciencedirect.com/science/article/pii/S0165178121004315?casa_token=MYCbWhrKM8AAAAAA:ZTFZqUZTOFadjpPgZf0pAq51gcBiMBANaEcx4jL7v7TvsP2XGlaImGmyYmyhy_16u15IAM1RJmk,1,0.5740251815012852,0.8962662523900574,0.1494765289213401,0.5,0.335,0.5,1.0
Text," Identify and classify named entities such as people, organizations, locations, and more",Named Entity Recognition,Sequence_tagging,Tensorflow,1.9,0.0257452574525745,2509.0,0.0249701433121019,Open source,Apache-2.0 license,0.056,5.353728489483748e-05,4-8 GB,6.0,0.0666666666666666,GPU,0.67,1.0,No,Guillaume Genthial ,0.0,https://github.com/guillaumegenthial/sequence_tagging.git,1603.01354v5.pdf (arxiv.org),0,0.4703290117665428,0.9666398980242192,0.0254352117963854,0.5,0.335,0.5,0.0
Text," Identify and classify named entities such as people, organizations, locations, and more",Named Entity Recognition,gluon_nlp,mxnet,2.6,0.035230352303523,10232.0,0.1018312101910828,Open source,Apache-2.0 license,11.376,0.0108757170172084,8-16 GB,12.0,0.2,GPU,0.67,1.0,Yes,Gluon,1.0,https://github.com/dmlc/gluon-nlp.git,https://www.sciencedirect.com/science/article/pii/S0165178121004315?casa_token=vsCuYugpM8sAAAAA:JPy2HqdqN7lullppd2NTHmqQGgfCyWOzQSMYEQMaKZfTlWUtTZQSnhNsfkLBBJFqR-cMDLJH6hQ,1,0.5559927815391281,0.8945621414913958,0.0618706954585469,0.5,0.335,0.5,1.0
Text," Identify and classify named entities such as people, organizations, locations, and more",Named Entity Recognition,tf_ner,Tensorflow,0.93,0.0126016260162601,2524.0,0.0251194267515923,Open source,Apache-2.0 license,0.147,0.0001405353728489,4-8 GB,6.0,0.0666666666666666,GPU,0.67,1.0,No,Guillaume Genthial,0.0,https://github.com/guillaumegenthial/tf_ner.git,https://arxiv.org/abs/1603.01354,0,0.4687506689561512,0.9665963989802422,0.0176087463103929,0.5,0.335,0.5,0.0
Text," Identify and classify named entities such as people, organizations, locations, and more",Named Entity Recognition,ERNIE,Paddle,6.1,0.0826558265582655,475.0,0.0047273089171974,Open source,MIT license,127.429,0.1218250478011472,16-32 GB,24.0,0.4666666666666667,GPU,0.67,1.0,Yes,n.a,0.0,https://github.com/PaddlePaddle/ERNIE.git,https://arxiv.org/abs/1904.09223,1,0.3972731267301955,0.705754142766093,0.0514844195018382,0.5,0.335,0.5,0.0
Text,,Feature Extraction,nvidia/NV-Embed-v2,,,,0.0,,,Unknown,,,,,,,,,,,,https://huggingface.co/nvidia/NV-Embed-v2,Unknown,0,,,,0.5,,0.5,
Text,,Feature Extraction,intfloat/multilingual-e5-large,,,,0.0,,,Unknown,,,,,,,,,,,,https://huggingface.co/intfloat/multilingual-e5-large,Unknown,0,,,,0.5,,0.5,
Text,,Feature Extraction,canine-s,,,,0.0,,,Unknown,,,,,,,,,,google,,https://huggingface.co/google/canine-s,Unknown,0,,,,0.5,,0.5,
